Category,Item,Size/Variant,Price
Premium Flavor Pizza,Royal Crust Pizza,Medium (M),1250
Premium Flavor Pizza,Royal Crust Pizza,Large (L),1700
Premium Flavor Pizza,Royal Crust Pizza,Extra Large (XL),2400
Premium Flavor Pizza,Behari Kabab Pizza,Medium (M),1250
Premium Flavor Pizza,Behari Kabab Pizza,Large (L),1700
Premium Flavor Pizza,Behari Kabab Pizza,Extra Large (XL),2400
Premium Flavor Pizza,Malai Boti Pizza,Medium (M),1100
Premium Flavor Pizza,Malai Boti Pizza,Large (L),1600
Premium Flavor Pizza,Malai Boti Pizza,Extra Large (XL),2300
Premium Flavor Pizza,Peri Peri Pizza,Medium (M),1100
Premium Flavor Pizza,Peri Peri Pizza,Large (L),1600
Premium Flavor Pizza,Peri Peri Pizza,Extra Large (XL),2300
Premium Flavor Pizza,Jamaican Pizza,Medium (M),1100
Premium Flavor Pizza,Jamaican Pizza,Large (L),1600
Premium Flavor Pizza,Jamaican Pizza,Extra Large (XL),2300
Premium Squared,Queen's Cut,Standard,1850
Premium Squared,O-Top Behari,Standard,1850
Premium Squared,Smokey Firestone,Standard,1850
Premium Squared,Eastside Mughlai,Standard,1850
Premium Squared,Squared Seasons,Standard,1900
Long Shots Pizza,Queen's Cut,Standard,600
Long Shots Pizza,O-Top Behari,Standard,600
Long Shots Pizza,Smokey Firestone,Standard,600
Long Shots Pizza,Eastside Mughlai,Standard,600
Regular Flavor Pizza,Chicken Tikka,Small (S),550
Regular Flavor Pizza,Chicken Tikka,Medium (M),990
Regular Flavor Pizza,Chicken Tikka,Large (L),1450
Regular Flavor Pizza,Chicken Tikka,Extra Large (XL),2150
Regular Flavor Pizza,Chicken Fajita,Small (S),550
Regular Flavor Pizza,Chicken Fajita,Medium (M),990
Regular Flavor Pizza,Chicken Fajita,Large (L),1450
Regular Flavor Pizza,Chicken Fajita,Extra Large (XL),2150
Regular Flavor Pizza,Chicken Supreme,Medium (M),1050
Regular Flavor Pizza,Chicken Supreme,Large (L),1500
Regular Flavor Pizza,Chicken Supreme,Extra Large (XL),2250
Regular Flavor Pizza,Chicken Bonfire,Medium (M),1050
Regular Flavor Pizza,Chicken Bonfire,Large (L),1500
Regular Flavor Pizza,Cheese Legend,Medium (M),1050
Regular Flavor Pizza,Cheese Legend,Large (L),1500
Appetizers,Fire Glaze Chicken,Standard,850
Appetizers,Creamy Spinroll,Standard,570
Appetizers,BBQ Spinroll,Standard,570
Appetizers,Nuggets,6 Pcs,250
Appetizers,Nuggets,12 Pcs,500
Appetizers,Hot Wings,6 Pcs,350
Appetizers,Hot Wings,12 Pcs,650
Appetizers,Hot Shots,12 Pcs,550
Appetizers,Oven Baked Wings,12 Pcs,650
Fries,Plain Fries,Standard,280
Fries,Masala Fries,Standard,290
Fries,Mayo Garlic Fries,Standard,350
Fries,Cheesy Fries,Standard,450
Fries,Loaded Fries,Standard,700
Wraps and Rolls,Mexican Wrap,Standard,590
Wraps and Rolls,Chipotle Wrap,Standard,590
Wraps and Rolls,N.Y Creamy Wrap,Standard,590
Wraps and Rolls,Zinger Wrap,Standard,590
Wraps and Rolls,Mexican Twister,Standard,400
Wraps and Rolls,Zinger Twister,Standard,430
Sandwiches,Classic Sandwich,Standard,450
Sandwiches,Steak Sandwich,Standard,500
Sandwiches,Pizza Sandwich,Standard,650
Sandwiches,Jalapeno Pizza Sandwich,Standard,700
Grilled Chicken Burgers,Special Jalapeno Big Bang,Standard,850
Grilled Chicken Burgers,Cheesy Cream Pie,Standard,760
Grilled Chicken Burgers,Deep Hot,Standard,750
Grilled Chicken Burgers,Dumpster B.B.Q,Standard,700
Fried Burgers,Mega Bite,Standard,590
Fried Burgers,Big Bite,Standard,500
Fried Burgers,B.B.Q Crispy Burger,Standard,350
Fried Burgers,Crispy Burger,Standard,350
Pasta & Platters,Oven Baked Pasta,Regular,650
Pasta & Platters,Oven Baked Pasta,Large,750
Pasta & Platters,Mexican Platter,Standard,590
Pasta & Platters,Loaded Platter,Standard,650
Extras,Pizza Topping,Small (S),80
Extras,Pizza Topping,Medium (M),150
Extras,Pizza Topping,Large (L),190
Extras,Pizza Topping,Extra Large (XL),260
Extras,Extra Bread,XL,40
Extras,Extra Cheese Slice,XL,70
Extras,Extra Dip Sauce,XL,70
